INDEX,RCR,DATE,TIME,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT,SPEED,HEADING,NSAT (USED/VIEW),DISTANCE,
204,T,2008/01/27,14:30:29.000,SPS,57.698406,N,11.977693,E,127.212 m,3.030 km/h,151.709610,8(10),      5.83 m,
205,T,2008/01/27,14:30:34.000,SPS,57.698369,N,11.977842,E,122.670 m,3.823 km/h,150.292557,9(10),     10.84 m,
206,T,2008/01/27,14:30:39.000,SPS,57.698332,N,11.977959,E,119.508 m,4.297 km/h,150.292557,9(10),      8.67 m,
207,T,2008/01/27,14:30:44.000,SPS,57.698291,N,11.978065,E,118.257 m,3.208 km/h,152.138992,8(10),      7.88 m,
208,T,2008/01/27,14:30:49.000,SPS,57.698251,N,11.978478,E,114.823 m,5.848 km/h,152.138992,9(10),     25.29 m,
209,T,2008/01/27,14:30:54.000,SPS,57.698180,N,11.978644,E,109.670 m,4.343 km/h,152.138992,8(10),     13.60 m,
210,T,2008/01/27,14:30:59.000,SPS,57.698129,N,11.978757,E,105.506 m,5.529 km/h,151.187805,8(10),      9.81 m,
211,T,2008/01/27,14:31:04.000,SPS,57.698061,N,11.978835,E,103.666 m,4.856 km/h,149.160706,9(10),      9.04 m,
212,T,2008/01/27,14:31:09.000,SPS,57.697995,N,11.978816,E,105.252 m,4.680 km/h,147.681824,8(10),      7.65 m,
213,T,2008/01/27,14:31:14.000,SPS,57.697933,N,11.978762,E,106.092 m,4.216 km/h,147.681824,8(9),      7.67 m,
214,T,2008/01/27,14:31:19.000,SPS,57.697842,N,11.978776,E,104.700 m,6.214 km/h,147.681824,8(10),     10.29 m,
215,T,2008/01/27,14:31:24.000,SPS,57.697784,N,11.978808,E,104.697 m,4.608 km/h,147.681824,9(10),      6.75 m,
216,T,2008/01/27,14:31:29.000,SPS,57.697712,N,11.978872,E,106.038 m,4.529 km/h,144.817627,7(10),      8.91 m,
217,T,2008/01/27,14:31:34.000,SPS,57.697683,N,11.978893,E,103.740 m,5.686 km/h,143.690689,8(10),      4.15 m,
218,T,2008/01/27,14:31:39.000,SPS,57.697665,N,11.978943,E,100.028 m,3.866 km/h,143.690689,8(10),      5.17 m,
219,T,2008/01/27,14:31:44.000,SPS,57.697600,N,11.979012,E,96.331 m,5.607 km/h,171.598877,8(10),      9.04 m,
220,T,2008/01/27,14:31:49.000,SPS,57.697474,N,11.978969,E,89.905 m,7.039 km/h,175.468765,7(10),     15.68 m,
221,T,2008/01/27,14:31:54.000,SPS,57.697367,N,11.979000,E,84.427 m,4.651 km/h,175.468765,8(10),     13.23 m,
222,T,2008/01/27,14:31:59.000,SPS,57.697308,N,11.979088,E,83.601 m,5.585 km/h,175.468765,8(10),      8.48 m,
223,T,2008/01/27,14:32:04.000,SPS,57.697291,N,11.979184,E,86.593 m,4.621 km/h,175.468765,9(10),      6.70 m,
224,T,2008/01/27,14:32:09.000,SPS,57.697274,N,11.979310,E,89.465 m,5.419 km/h,175.468765,9(10),      8.25 m,
225,T,2008/01/27,14:32:14.000,SPS,57.697219,N,11.979413,E,87.774 m,4.181 km/h,175.468765,9(10),      8.90 m,
226,T,2008/01/27,14:32:19.000,SPS,57.697166,N,11.979434,E,95.693 m,3.918 km/h,175.468765,9(10),      9.92 m,
227,T,2008/01/27,14:32:24.000,SPS,57.697098,N,11.979491,E,92.201 m,1.306 km/h,175.468765,9(10),      9.03 m,
228,T,2008/01/27,14:32:29.000,SPS,57.697098,N,11.979481,E,95.843 m,1.357 km/h,175.468765,9(10),      3.70 m,
229,B,2008/01/27,14:32:31.000,SPS,57.697093,N,11.979470,E,96.421 m,1.226 km/h,175.468765,8(10),      0.98 m,
230,T,2008/01/27,14:32:36.000,SPS,57.697089,N,11.979459,E,97.553 m,0.348 km/h,175.468765,9(10),      1.38 m,
231,T,2008/01/27,14:32:41.000,SPS,57.697088,N,11.979459,E,97.998 m,0.744 km/h,175.468765,9(10),      0.46 m,
232,T,2008/01/27,14:32:46.000,SPS,57.697104,N,11.979504,E,96.478 m,3.837 km/h,175.468765,9(10),      3.54 m,
233,T,2008/01/27,14:32:51.000,SPS,57.697152,N,11.979574,E,89.553 m,4.436 km/h,175.468765,8(10),      9.69 m,
234,T,2008/01/27,14:32:56.000,SPS,57.697205,N,11.979565,E,83.425 m,4.382 km/h,175.468765,9(10),      8.53 m,
235,T,2008/01/27,14:33:01.000,SPS,57.697266,N,11.979543,E,79.043 m,5.017 km/h,175.468765,9(10),      8.14 m,
236,T,2008/01/27,14:33:06.000,SPS,57.697335,N,11.979517,E,75.905 m,6.258 km/h,175.468765,9(10),      8.55 m,
237,T,2008/01/27,14:33:11.000,SPS,57.697396,N,11.979553,E,72.991 m,6.059 km/h,175.468765,9(10),      7.68 m,
238,T,2008/01/27,14:33:16.000,SPS,57.697457,N,11.979552,E,69.763 m,4.282 km/h,175.468765,8(10),      7.51 m,
239,T,2008/01/27,14:33:21.000,SPS,57.697530,N,11.979501,E,64.874 m,5.514 km/h,175.468765,8(10),      9.92 m,
240,T,2008/01/27,14:33:26.000,SPS,57.697577,N,11.979440,E,61.687 m,4.860 km/h,175.468765,9(10),      7.16 m,
241,T,2008/01/27,14:33:31.000,SPS,57.697611,N,11.979335,E,60.879 m,6.522 km/h,175.468765,9(10),      7.37 m,
242,T,2008/01/27,14:33:36.000,SPS,57.697651,N,11.979255,E,60.912 m,4.865 km/h,175.468765,8(10),      6.51 m,
243,T,2008/01/27,14:33:41.000,SPS,57.697683,N,11.979185,E,61.899 m,4.418 km/h,175.468765,9(10),      5.60 m,
244,T,2008/01/27,14:33:46.000,SPS,57.697710,N,11.979115,E,64.165 m,5.755 km/h,175.468765,9(10),      5.63 m,
245,T,2008/01/27,14:33:51.000,SPS,57.697735,N,11.979055,E,68.273 m,3.367 km/h,175.468765,9(10),      6.09 m,
246,T,2008/01/27,14:33:56.000,SPS,57.697783,N,11.978979,E,69.860 m,3.793 km/h,175.468765,9(10),      7.23 m,
247,T,2008/01/27,14:34:01.000,SPS,57.697852,N,11.978978,E,69.197 m,3.305 km/h,175.468765,9(10),      7.68 m,
248,T,2008/01/27,14:34:06.000,SPS,57.697931,N,11.978880,E,66.018 m,4.712 km/h,175.468765,8(10),     11.04 m,
249,T,2008/01/27,14:34:11.000,SPS,57.698014,N,11.978795,E,63.117 m,5.675 km/h,175.468765,8(10),     10.95 m,
250,T,2008/01/27,14:34:16.000,SPS,57.698069,N,11.978688,E,62.031 m,4.371 km/h,175.468765,8(10),      8.90 m,
251,T,2008/01/27,14:34:21.000,SPS,57.698117,N,11.978581,E,63.191 m,4.748 km/h,175.468765,8(10),      8.39 m,
252,T,2008/01/27,14:34:26.000,SPS,57.698160,N,11.978480,E,63.152 m,4.791 km/h,175.468765,8(10),      7.70 m,
253,T,2008/01/27,14:34:31.000,SPS,57.698224,N,11.978408,E,64.188 m,3.706 km/h,175.468765,8(10),      8.32 m,
254,T,2008/01/27,14:34:36.000,SPS,57.698269,N,11.978333,E,62.523 m,4.638 km/h,175.468765,9(10),      7.00 m,
255,T,2008/01/27,14:34:41.000,SPS,57.698344,N,11.978199,E,59.039 m,4.556 km/h,175.468765,8(10),     12.01 m,
256,T,2008/01/27,14:34:46.000,SPS,57.698394,N,11.978093,E,58.767 m,5.073 km/h,175.468765,9(10),      8.45 m,
257,T,2008/01/27,14:34:51.000,SPS,57.698437,N,11.978009,E,58.772 m,5.069 km/h,175.468765,8(10),      6.98 m,
258,T,2008/01/27,14:34:56.000,SPS,57.698484,N,11.977918,E,59.631 m,5.502 km/h,175.468765,8(10),      7.57 m,
259,T,2008/01/27,14:35:01.000,SPS,57.698542,N,11.977855,E,59.825 m,4.129 km/h,175.468765,8(10),      7.50 m,
260,T,2008/01/27,14:35:06.000,SPS,57.698616,N,11.977818,E,59.702 m,4.785 km/h,175.468765,9(10),      8.44 m,
261,T,2008/01/27,14:35:11.000,SPS,57.698663,N,11.977687,E,57.375 m,2.401 km/h,175.468765,8(10),      9.68 m,
262,T,2008/01/27,14:35:16.000,SPS,57.698660,N,11.977696,E,57.712 m,0.124 km/h,175.468765,9(10),      0.68 m,
263,T,2008/01/27,14:35:21.000,SPS,57.698660,N,11.977696,E,57.753 m,0.028 km/h,175.468765,8(10),      0.06 m,
264,T,2008/01/27,14:35:26.000,SPS,57.698660,N,11.977697,E,57.740 m,0.029 km/h,175.468765,8(10),      0.03 m,
265,T,2008/01/27,14:35:31.000,SPS,57.698666,N,11.977690,E,57.764 m,5.039 km/h,175.468765,9(10),      0.87 m,
266,T,2008/01/27,14:35:36.000,SPS,57.698734,N,11.977587,E,56.159 m,6.733 km/h,175.468765,8(10),      9.86 m,
267,T,2008/01/27,14:35:41.000,SPS,57.698815,N,11.977506,E,51.600 m,4.906 km/h,175.468765,9(10),     11.14 m,
268,T,2008/01/27,14:35:46.000,SPS,57.698893,N,11.977435,E,50.687 m,6.568 km/h,175.468765,8(10),      9.76 m,
269,T,2008/01/27,14:35:51.000,SPS,57.698960,N,11.977356,E,51.726 m,4.858 km/h,175.468765,8(10),      8.84 m,
270,T,2008/01/27,14:35:56.000,SPS,57.699004,N,11.977275,E,53.612 m,5.514 km/h,175.468765,9(10),      7.12 m,
271,T,2008/01/27,14:36:01.000,SPS,57.699043,N,11.977179,E,54.670 m,5.972 km/h,175.468765,8(10),      7.28 m,
272,T,2008/01/27,14:36:06.000,SPS,57.699088,N,11.977114,E,56.635 m,6.510 km/h,175.468765,8(10),      6.66 m,
273,T,2008/01/27,14:36:11.000,SPS,57.699135,N,11.977033,E,59.526 m,3.891 km/h,175.468765,9(10),      7.64 m,
274,T,2008/01/27,14:36:16.000,SPS,57.699140,N,11.976915,E,61.831 m,5.391 km/h,175.468765,9(10),      7.47 m,
275,T,2008/01/27,14:36:21.000,SPS,57.699183,N,11.976799,E,63.125 m,3.378 km/h,175.468765,8(10),      8.49 m,
276,T,2008/01/27,14:36:26.000,SPS,57.699238,N,11.976728,E,65.140 m,7.040 km/h,175.468765,8(10),      7.74 m,
277,T,2008/01/27,14:36:31.000,SPS,57.699323,N,11.976679,E,63.123 m,3.529 km/h,175.468765,8(10),     10.12 m,
278,T,2008/01/27,14:36:36.000,SPS,57.699357,N,11.976650,E,63.095 m,2.025 km/h,175.468765,9(10),      4.18 m,
279,T,2008/01/27,14:36:41.000,SPS,57.699361,N,11.976686,E,64.549 m,0.758 km/h,175.468765,9(10),      2.63 m,
280,T,2008/01/27,14:36:46.000,SPS,57.699357,N,11.976696,E,65.330 m,0.328 km/h,175.468765,9(10),      1.06 m,
281,T,2008/01/27,14:36:51.000,SPS,57.699353,N,11.976715,E,65.651 m,2.531 km/h,175.468765,8(10),      1.28 m,
282,T,2008/01/27,14:36:56.000,SPS,57.699354,N,11.976777,E,65.963 m,2.095 km/h,175.468765,8(10),      3.71 m,
283,T,2008/01/27,14:37:01.000,SPS,57.699353,N,11.976817,E,66.272 m,2.000 km/h,175.468765,8(10),      2.40 m,
284,T,2008/01/27,14:37:06.000,SPS,57.699339,N,11.976852,E,66.537 m,2.305 km/h,175.468765,8(10),      2.64 m,
285,T,2008/01/27,14:37:11.000,SPS,57.699336,N,11.976895,E,66.844 m,0.733 km/h,175.468765,8(10),      2.63 m,
286,T,2008/01/27,14:37:16.000,SPS,57.699336,N,11.976902,E,66.999 m,0.190 km/h,175.468765,9(10),      0.45 m,
287,T,2008/01/27,14:37:21.000,SPS,57.699337,N,11.976903,E,67.045 m,0.371 km/h,175.468765,8(10),      0.15 m,
288,T,2008/01/27,14:37:26.000,SPS,57.699343,N,11.976884,E,67.063 m,1.609 km/h,175.468765,9(10),      1.28 m,
289,T,2008/01/27,14:37:31.000,SPS,57.699353,N,11.976850,E,67.086 m,1.660 km/h,175.468765,9(10),      2.33 m,
290,T,2008/01/27,14:37:36.000,SPS,57.699359,N,11.976833,E,67.109 m,0.692 km/h,175.468765,9(10),      1.21 m,
291,T,2008/01/27,14:37:41.000,SPS,57.699364,N,11.976816,E,67.116 m,0.498 km/h,175.468765,9(10),      1.17 m,
292,T,2008/01/27,14:37:46.000,SPS,57.699367,N,11.976811,E,67.123 m,0.457 km/h,175.468765,9(10),      0.46 m,
293,T,2008/01/27,14:37:51.000,SPS,57.699376,N,11.976791,E,67.126 m,1.897 km/h,175.468765,9(10),      1.50 m,
294,T,2008/01/27,14:37:56.000,SPS,57.699404,N,11.976773,E,67.146 m,3.128 km/h,175.468765,8(10),      3.34 m,
295,T,2008/01/27,14:38:01.000,SPS,57.699441,N,11.976757,E,67.190 m,2.677 km/h,175.468765,8(10),      4.29 m,
296,T,2008/01/27,14:38:06.000,SPS,57.699470,N,11.976756,E,67.275 m,2.140 km/h,175.468765,7(10),      3.17 m,
297,T,2008/01/27,14:38:11.000,SPS,57.699496,N,11.976755,E,67.238 m,2.152 km/h,175.468765,7(10),      2.92 m,
298,T,2008/01/27,14:38:16.000,SPS,57.699523,N,11.976775,E,67.197 m,2.287 km/h,175.468765,7(10),      3.25 m,
299,T,2008/01/27,14:38:21.000,SPS,57.699554,N,11.976780,E,67.123 m,2.599 km/h,175.468765,8(10),      3.41 m,
300,T,2008/01/27,14:38:26.000,SPS,57.699579,N,11.976773,E,67.029 m,1.833 km/h,175.468765,7(10),      2.83 m,
301,T,2008/01/27,14:38:31.000,SPS,57.699588,N,11.976764,E,66.982 m,0.306 km/h,175.468765,7(10),      1.19 m,
302,T,2008/01/27,14:38:36.000,SPS,57.699594,N,11.976795,E,66.995 m,1.683 km/h,175.468765,7(10),      1.94 m,
303,T,2008/01/27,14:38:41.000,SPS,57.699594,N,11.976796,E,67.051 m,0.616 km/h,175.468765,8(10),      0.10 m,
304,T,2008/01/27,14:38:46.000,SPS,57.699594,N,11.976800,E,67.175 m,0.933 km/h,175.468765,8(10),      0.27 m,
305,T,2008/01/27,14:38:51.000,SPS,57.699596,N,11.976814,E,67.189 m,0.589 km/h,175.468765,8(10),      0.87 m,
306,T,2008/01/27,14:38:56.000,SPS,57.699576,N,11.976767,E,67.108 m,3.395 km/h,175.468765,8(10),      3.55 m,
307,T,2008/01/27,14:39:01.000,SPS,57.699566,N,11.976759,E,67.008 m,0.996 km/h,175.468765,8(10),      1.20 m,
308,T,2008/01/27,14:39:06.000,SPS,57.699570,N,11.976760,E,66.902 m,0.474 km/h,175.468765,7(10),      0.42 m,
309,T,2008/01/27,14:39:11.000,SPS,57.699573,N,11.976757,E,66.823 m,1.591 km/h,175.468765,8(10),      0.41 m,
310,T,2008/01/27,14:39:16.000,SPS,57.699566,N,11.976722,E,66.704 m,2.013 km/h,175.468765,8(10),      2.22 m,
311,T,2008/01/27,14:39:21.000,SPS,57.699556,N,11.976691,E,66.499 m,3.174 km/h,175.468765,8(10),      2.18 m,
312,T,2008/01/27,14:39:26.000,SPS,57.699556,N,11.976631,E,66.373 m,4.101 km/h,175.468765,9(10),      3.56 m,
313,T,2008/01/27,14:39:31.000,SPS,57.699554,N,11.976523,E,62.448 m,5.704 km/h,175.468765,9(10),      7.55 m,
314,T,2008/01/27,14:39:36.000,SPS,57.699557,N,11.976459,E,63.711 m,1.936 km/h,175.468765,9(10),      4.04 m,
315,T,2008/01/27,14:39:41.000,SPS,57.699589,N,11.976401,E,65.081 m,5.259 km/h,175.468765,8(10),      5.10 m,
316,T,2008/01/27,14:39:46.000,SPS,57.699618,N,11.976313,E,65.332 m,1.698 km/h,175.468765,9(10),      6.13 m,
317,T,2008/01/27,14:39:51.000,SPS,57.699658,N,11.976248,E,65.433 m,3.701 km/h,175.468765,9(10),      5.96 m,
318,T,2008/01/27,14:39:56.000,SPS,57.699713,N,11.976241,E,68.670 m,3.926 km/h,175.468765,8(10),      6.90 m,
319,T,2008/01/27,14:40:01.000,SPS,57.699776,N,11.976177,E,67.728 m,4.038 km/h,175.468765,8(10),      8.09 m,
320,T,2008/01/27,14:40:06.000,SPS,57.699825,N,11.976082,E,67.210 m,4.399 km/h,175.468765,9(10),      7.83 m,
321,T,2008/01/27,14:40:11.000,SPS,57.699890,N,11.975991,E,67.461 m,4.970 km/h,175.468765,9(10),      9.05 m,
322,T,2008/01/27,14:40:16.000,SPS,57.699933,N,11.975902,E,67.407 m,4.824 km/h,175.468765,8(10),      7.11 m,
323,T,2008/01/27,14:40:21.000,SPS,57.699982,N,11.975813,E,67.934 m,3.603 km/h,175.468765,9(10),      7.65 m,
324,T,2008/01/27,14:40:26.000,SPS,57.700013,N,11.975730,E,68.325 m,4.033 km/h,175.468765,8(10),      6.07 m,
325,T,2008/01/27,14:40:31.000,SPS,57.700051,N,11.975639,E,68.266 m,4.495 km/h,175.468765,8(11),      6.83 m,
326,T,2008/01/27,14:40:36.000,SPS,57.700111,N,11.975515,E,66.728 m,7.484 km/h,312.802246,9(11),     10.12 m,
327,T,2008/01/27,14:40:41.000,SPS,57.700148,N,11.975412,E,66.768 m,5.457 km/h,312.802246,9(10),      7.41 m,
328,T,2008/01/27,14:40:46.000,SPS,57.700209,N,11.975290,E,64.711 m,4.795 km/h,313.321777,8(11),     10.16 m,
329,T,2008/01/27,14:40:51.000,SPS,57.700288,N,11.975163,E,59.311 m,5.921 km/h,308.333649,8(11),     12.80 m,
330,T,2008/01/27,14:40:56.000,SPS,57.700373,N,11.975093,E,55.797 m,5.683 km/h,308.333649,9(11),     10.90 m,
331,T,2008/01/27,14:41:01.000,SPS,57.700438,N,11.975011,E,53.861 m,4.589 km/h,308.333649,8(11),      8.97 m,
332,T,2008/01/27,14:41:06.000,SPS,57.700497,N,11.974938,E,53.176 m,4.847 km/h,308.138123,9(11),      7.86 m,
333,T,2008/01/27,14:41:11.000,SPS,57.700559,N,11.974854,E,52.072 m,3.912 km/h,308.138123,8(11),      8.65 m,
334,T,2008/01/27,14:41:16.000,SPS,57.700677,N,11.974866,E,48.708 m,5.864 km/h,308.138123,8(11),     13.57 m,
335,T,2008/01/27,14:41:21.000,SPS,57.700746,N,11.974814,E,46.551 m,4.577 km/h,308.138123,8(11),      8.57 m,
336,T,2008/01/27,14:41:26.000,SPS,57.700808,N,11.974717,E,45.545 m,5.492 km/h,308.138123,8(11),      9.07 m,
337,T,2008/01/27,14:41:31.000,SPS,57.700870,N,11.974636,E,44.029 m,6.530 km/h,307.519714,8(11),      8.51 m,
338,T,2008/01/27,14:41:36.000,SPS,57.700937,N,11.974539,E,43.179 m,5.834 km/h,307.519714,9(11),      9.53 m,
339,T,2008/01/27,14:41:41.000,SPS,57.700976,N,11.974505,E,44.183 m,4.036 km/h,307.519714,9(11),      4.85 m,
340,T,2008/01/27,14:41:46.000,SPS,57.701024,N,11.974409,E,44.197 m,4.866 km/h,307.519714,9(11),      7.86 m,
341,T,2008/01/27,14:41:51.000,SPS,57.701062,N,11.974339,E,44.851 m,3.063 km/h,309.039703,9(10),      6.04 m,
342,T,2008/01/27,14:41:56.000,SPS,57.701103,N,11.974260,E,46.545 m,3.451 km/h,312.476257,9(11),      6.71 m,
343,T,2008/01/27,14:42:01.000,SPS,57.701145,N,11.974184,E,48.676 m,4.202 km/h,312.476257,9(11),      6.91 m,
344,T,2008/01/27,14:42:06.000,SPS,57.701185,N,11.974109,E,51.464 m,4.515 km/h,313.447083,9(11),      6.87 m,
345,T,2008/01/27,14:42:11.000,SPS,57.701257,N,11.974060,E,52.666 m,3.776 km/h,313.648682,9(11),      8.60 m,
346,T,2008/01/27,14:42:16.000,SPS,57.701289,N,11.973956,E,54.016 m,5.350 km/h,313.648682,9(11),      7.29 m,
347,T,2008/01/27,14:42:21.000,SPS,57.701320,N,11.973851,E,55.015 m,4.412 km/h,313.648682,9(11),      7.23 m,
348,T,2008/01/27,14:42:26.000,SPS,57.701396,N,11.973794,E,55.862 m,5.184 km/h,313.648682,8(11),      9.12 m,
349,T,2008/01/27,14:42:31.000,SPS,57.701411,N,11.973702,E,59.843 m,3.612 km/h,315.012482,10(11),      7.01 m,
350,T,2008/01/27,14:42:36.000,SPS,57.701435,N,11.973617,E,62.617 m,3.938 km/h,315.592804,9(11),      6.37 m,
351,T,2008/01/27,14:42:41.000,SPS,57.701444,N,11.973507,E,65.984 m,4.078 km/h,315.939636,9(11),      7.41 m,
352,T,2008/01/27,14:42:46.000,SPS,57.701460,N,11.973434,E,68.956 m,4.906 km/h,315.939636,9(11),      5.56 m,
353,T,2008/01/27,14:42:51.000,SPS,57.701617,N,11.973517,E,64.422 m,4.207 km/h,319.429626,9(11),     18.81 m,
354,T,2008/01/27,14:42:56.000,SPS,57.701706,N,11.973372,E,57.507 m,3.937 km/h,319.429626,9(11),     14.86 m,
355,T,2008/01/27,14:43:01.000,SPS,57.701753,N,11.973226,E,53.629 m,6.001 km/h,319.429626,9(11),     10.90 m,
356,T,2008/01/27,14:43:06.000,SPS,57.701804,N,11.973084,E,51.208 m,4.103 km/h,319.429626,8(10),     10.46 m,
357,T,2008/01/27,14:43:11.000,SPS,57.701858,N,11.972972,E,50.054 m,4.389 km/h,319.604919,8(11),      8.99 m,
358,T,2008/01/27,14:43:16.000,SPS,57.701902,N,11.972925,E,51.181 m,4.323 km/h,319.773590,9(11),      5.81 m,
359,T,2008/01/27,14:43:21.000,SPS,57.701974,N,11.972840,E,50.300 m,5.974 km/h,319.422302,9(11),      9.52 m,
360,T,2008/01/27,14:43:26.000,SPS,57.702049,N,11.972744,E,47.162 m,4.477 km/h,319.306824,9(11),     10.63 m,
361,T,2008/01/27,14:43:31.000,SPS,57.702130,N,11.972675,E,43.652 m,5.464 km/h,318.747681,9(11),     10.52 m,
362,T,2008/01/27,14:43:36.000,SPS,57.702183,N,11.972622,E,41.517 m,6.473 km/h,321.181732,9(11),      6.98 m,
363,T,2008/01/27,14:43:41.000,SPS,57.702257,N,11.972538,E,42.297 m,6.683 km/h,321.181732,8(11),      9.71 m,
364,T,2008/01/27,14:43:46.000,SPS,57.702325,N,11.972445,E,41.170 m,5.209 km/h,330.178528,9(11),      9.46 m,
365,T,2008/01/27,14:43:51.000,SPS,57.702383,N,11.972354,E,40.141 m,3.227 km/h,330.178528,9(11),      8.43 m,
366,T,2008/01/27,14:43:56.000,SPS,57.702412,N,11.972289,E,41.489 m,4.234 km/h,331.304474,8(11),      5.28 m,
367,T,2008/01/27,14:44:01.000,SPS,57.702438,N,11.972275,E,41.592 m,0.282 km/h,331.304474,9(11),      2.99 m,
368,T,2008/01/27,14:44:06.000,SPS,57.702440,N,11.972273,E,41.805 m,0.492 km/h,331.304474,9(10),      0.36 m,
369,T,2008/01/27,14:44:11.000,SPS,57.702441,N,11.972272,E,41.838 m,0.093 km/h,331.304474,8(11),      0.07 m,
370,T,2008/01/27,14:44:16.000,SPS,57.702454,N,11.972234,E,41.977 m,5.925 km/h,331.304474,8(10),      2.71 m,
371,T,2008/01/27,14:44:21.000,SPS,57.702500,N,11.972135,E,39.424 m,5.709 km/h,331.304474,9(11),      8.21 m,
372,T,2008/01/27,14:44:26.000,SPS,57.702562,N,11.972116,E,39.249 m,6.026 km/h,331.304474,9(11),      7.03 m,
373,T,2008/01/27,14:44:31.000,SPS,57.702616,N,11.972060,E,40.106 m,6.033 km/h,331.304474,9(11),      6.89 m,
374,T,2008/01/27,14:44:36.000,SPS,57.702666,N,11.972001,E,40.622 m,4.647 km/h,332.742340,9(11),      6.63 m,
375,T,2008/01/27,14:44:41.000,SPS,57.702736,N,11.971930,E,39.549 m,4.373 km/h,334.134705,9(11),      8.90 m,
376,T,2008/01/27,14:44:46.000,SPS,57.702782,N,11.971835,E,39.688 m,4.830 km/h,334.134705,9(11),      7.67 m,
377,T,2008/01/27,14:44:51.000,SPS,57.702843,N,11.971722,E,36.875 m,5.373 km/h,334.134705,9(11),     10.02 m,
378,T,2008/01/27,14:44:56.000,SPS,57.702910,N,11.971636,E,37.305 m,7.077 km/h,329.513885,9(11),      9.04 m,
379,T,2008/01/27,14:45:01.000,SPS,57.702970,N,11.971551,E,36.478 m,5.132 km/h,329.513885,9(11),      8.39 m,
380,T,2008/01/27,14:45:06.000,SPS,57.703017,N,11.971462,E,37.679 m,6.665 km/h,329.513885,9(11),      7.53 m,
381,T,2008/01/27,14:45:11.000,SPS,57.703071,N,11.971374,E,37.856 m,5.270 km/h,329.513885,9(11),      8.03 m,
382,T,2008/01/27,14:45:16.000,SPS,57.703134,N,11.971307,E,38.441 m,7.068 km/h,330.639191,9(11),      8.09 m,
383,T,2008/01/27,14:45:21.000,SPS,57.703188,N,11.971224,E,37.094 m,4.871 km/h,322.645264,9(11),      7.89 m,
384,T,2008/01/27,14:45:26.000,SPS,57.703244,N,11.971135,E,38.461 m,6.000 km/h,321.540863,9(11),      8.28 m,
385,T,2008/01/27,14:45:31.000,SPS,57.703298,N,11.971047,E,37.066 m,4.873 km/h,321.540863,9(11),      8.15 m,
386,T,2008/01/27,14:45:36.000,SPS,57.703351,N,11.970981,E,37.422 m,6.283 km/h,321.540863,9(11),      7.10 m,
387,T,2008/01/27,14:45:41.000,SPS,57.703404,N,11.970900,E,36.895 m,5.331 km/h,320.504150,9(11),      7.65 m,
388,T,2008/01/27,14:45:46.000,SPS,57.703467,N,11.970806,E,36.325 m,5.001 km/h,319.068939,9(11),      9.01 m,
389,T,2008/01/27,14:45:51.000,SPS,57.703511,N,11.970724,E,36.249 m,6.196 km/h,320.075500,9(11),      6.92 m,
390,T,2008/01/27,14:45:56.000,SPS,57.703565,N,11.970629,E,34.937 m,4.656 km/h,320.075500,9(11),      8.33 m,
391,T,2008/01/27,14:46:01.000,SPS,57.703616,N,11.970553,E,34.255 m,5.732 km/h,322.200470,9(11),      7.32 m,
392,T,2008/01/27,14:46:06.000,SPS,57.703669,N,11.970463,E,34.248 m,5.980 km/h,320.091583,9(11),      7.93 m,
393,T,2008/01/27,14:46:11.000,SPS,57.703734,N,11.970375,E,34.113 m,5.019 km/h,321.973114,9(11),      9.00 m,
394,T,2008/01/27,14:46:16.000,SPS,57.703800,N,11.970325,E,34.821 m,5.381 km/h,321.973114,9(11),      7.91 m,
395,T,2008/01/27,14:46:21.000,SPS,57.703856,N,11.970309,E,34.474 m,4.345 km/h,321.973114,9(11),      6.30 m,
396,T,2008/01/27,14:46:26.000,SPS,57.703895,N,11.970388,E,34.815 m,5.410 km/h,321.973114,9(11),      6.47 m,
397,T,2008/01/27,14:46:31.000,SPS,57.703939,N,11.970481,E,36.532 m,5.661 km/h,321.973114,8(11),      7.60 m,
398,T,2008/01/27,14:46:36.000,SPS,57.703984,N,11.970577,E,35.942 m,5.200 km/h,321.973114,8(11),      7.63 m,
399,T,2008/01/27,14:46:41.000,SPS,57.704017,N,11.970695,E,36.971 m,6.216 km/h,321.973114,8(11),      8.01 m,
400,T,2008/01/27,14:46:46.000,SPS,57.704067,N,11.970783,E,36.621 m,4.963 km/h,321.973114,8(11),      7.62 m,
401,T,2008/01/27,14:46:51.000,SPS,57.704115,N,11.970869,E,36.711 m,4.327 km/h,321.973114,8(11),      7.41 m,
402,T,2008/01/27,14:46:56.000,SPS,57.704112,N,11.970976,E,38.266 m,5.899 km/h,321.973114,9(11),      6.60 m,
403,T,2008/01/27,14:47:01.000,SPS,57.704100,N,11.971029,E,39.389 m,3.061 km/h,321.973114,8(11),      3.62 m,
404,T,2008/01/27,14:47:06.000,SPS,57.704082,N,11.971095,E,41.071 m,4.254 km/h,321.973114,8(11),      4.68 m,
405,T,2008/01/27,14:47:11.000,SPS,57.704055,N,11.971267,E,44.572 m,5.729 km/h,321.973114,8(11),     11.27 m,
406,T,2008/01/27,14:47:16.000,SPS,57.704055,N,11.971487,E,45.150 m,6.854 km/h,103.814293,8(11),     13.13 m,
407,T,2008/01/27,14:47:21.000,SPS,57.704049,N,11.971652,E,46.482 m,5.082 km/h,103.548470,8(11),      9.96 m,
